,Customer Code,Month 1 Sales Amount,Month 2 Sales Amount,Month 3 Sales Amount,Gender,Shop Name,Month 1 Customer Status,Month 2 Customer Status,Month 3 Customer Status,Total Sales Amount
0,AP01900827,1390.0,2640.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4030.0
1,AP01900828,1459.0,3641.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,5100.0
2,AP01900001,1390.0,1761.0,733.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3884.0
3,AP01900050,2020.0,656.0,18.0,Male,Picard Bangladesh Limited,yes,yes,yes,2694.0
4,AP01901485,1202.0,60.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,1262.0
5,AP01900002,170.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,170.0
6,AP01901210,1490.0,0.0,2392.0,Female,Picard Bangladesh Limited,yes,no,yes,3882.0
7,AP01900195,1390.0,1390.0,438.0,Male,Picard Bangladesh Limited,yes,yes,yes,3218.0
8,AP01900004,1512.0,2036.0,2655.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6203.0
9,AP01900197,4170.0,2858.0,212.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7240.0
10,AP01900056,1555.0,1581.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,3136.0
11,AP01900834,288.0,6169.0,4069.0,Male,PICARD Bangladesh Limited,yes,yes,yes,10526.0
12,AP01900600,2780.0,2265.0,724.0,Male,Picard Bangladesh Limited,yes,yes,yes,5769.0
13,AP01901492,2780.0,2780.0,40.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5600.0
14,AP01900058,292.0,0.0,389.0,Female,Picard Bangladesh Limited,yes,no,yes,681.0
15,AP01900009,1390.0,0.0,2493.0,Female,Picard Bangladesh Limited,yes,no,yes,3883.0
16,AP01900603,1390.0,1320.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,2710.0
17,AP01900202,1390.0,1842.0,1521.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4753.0
18,AP01900159,2399.0,1748.0,817.0,Female,PICARD Bangladesh Limited,yes,yes,yes,4964.0
19,AP01900014,1043.0,1515.0,150.0,Female,Picard Bangladesh Limited,yes,yes,yes,2708.0
20,AP01900064,2780.0,1653.0,184.0,Female,Picard Bangladesh Limited,yes,yes,yes,4617.0
21,AP01900842,539.0,231.0,755.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1525.0
22,AP01901223,1390.0,1888.0,48.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3326.0
23,AP01900608,647.0,0.0,30.0,Female,PICARD Bangladesh Limited,yes,no,yes,677.0
24,AP01900160,2693.0,2590.0,2541.0,Male,PICARD Bangladesh Limited,yes,yes,yes,7824.0
25,AP01900207,1154.0,2710.0,90.0,Female,PICARD Bangladesh Limited,yes,yes,yes,3954.0
26,AP01900844,1390.0,1480.0,1812.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4682.0
27,AP01901225,1243.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1243.0
28,AP01900163,1390.0,1390.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2780.0
29,AP01900209,21.0,724.0,31.0,Male,Picard Bangladesh Limited,yes,yes,yes,776.0
30,AP01901503,4463.0,2780.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,7243.0
31,AP01900211,2704.0,2044.0,2282.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7030.0
32,AP01900164,2780.0,1390.0,49.0,Female,PICARD Bangladesh Limited,yes,yes,yes,4219.0
33,AP01900165,1850.0,0.0,127.0,Male,Picard Bangladesh Limited,yes,no,yes,1977.0
34,AP01900614,2780.0,2502.0,2090.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7372.0
35,AP01900848,1390.0,2780.0,2606.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6776.0
36,AP01901228,2780.0,357.0,378.0,Female,PICARD Bangladesh Limited,yes,yes,yes,3515.0
37,AP01900849,272.0,0.0,294.0,Female,PICARD Bangladesh Limited,yes,no,yes,566.0
38,AP01901229,1385.0,2750.0,769.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4904.0
39,AP01900850,2450.0,1745.0,1840.0,Female,Picard Bangladesh Limited,yes,yes,yes,6035.0
40,AP01901230,2855.0,2749.0,119.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5723.0
41,AP01901507,1390.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1390.0
42,AP01900170,2780.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,2780.0
43,AP01900856,372.0,747.0,182.0,Male,PICARD Bangladesh Limited,yes,yes,yes,1301.0
44,AP01900621,1457.0,938.0,431.0,Female,Picard Bangladesh Limited,yes,yes,yes,2826.0
45,AP01900172,179.0,2201.0,1952.0,Female,PICARD Bangladesh Limited,yes,yes,yes,4332.0
46,AP01901512,6478.0,0.0,2033.0,Male,PICARD Bangladesh Limited,yes,no,yes,8511.0
47,AP01901513,2780.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,2780.0
48,AP01900174,1390.0,0.0,487.0,Male,Picard Bangladesh Limited,yes,no,yes,1877.0
49,AP01901239,388.0,406.0,566.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1360.0
50,AP01900223,1390.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1390.0
51,AP01900225,2503.0,1640.0,2283.0,Female,Picard Bangladesh Limited,yes,yes,yes,6426.0
52,AP01900861,4170.0,18670.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,22840.0
53,AP01901241,83.0,612.0,1680.0,Male,Picard Bangladesh Limited,yes,yes,yes,2375.0
54,AP01901517,258.0,362.0,873.0,Male,Picard Bangladesh Limited,yes,yes,yes,1493.0
55,AP01900082,925.0,5560.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,6485.0
56,AP01900083,1388.0,3741.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,5129.0
57,AP01900227,1770.0,2100.0,1378.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5248.0
58,AP01900179,2064.0,1390.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,3454.0
59,AP01900084,3795.0,1649.0,404.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5848.0
60,AP01900085,3374.0,2603.0,2678.0,Male,PICARD Bangladesh Limited,yes,yes,yes,8655.0
61,AP01901518,925.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,925.0
62,AP01901242,2227.0,2362.0,925.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5514.0
63,AP01900038,147.0,679.0,574.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1400.0
64,AP01900228,50.0,0.0,63.0,Male,Picard Bangladesh Limited,yes,no,yes,113.0
65,AP01901520,1390.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1390.0
66,AP01901245,1039.0,1980.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,3019.0
67,AP01900230,1390.0,1390.0,744.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3524.0
68,AP01900041,116.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,116.0
69,AP01900868,1390.0,1390.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,2780.0
70,AP01901247,1390.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1390.0
71,AP01901523,1665.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1665.0
72,AP01900184,195.0,2056.0,410.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2661.0
73,AP01900091,2008.0,2283.0,370.0,Female,PICARD Bangladesh Limited,yes,yes,yes,4661.0
74,AP01900093,2443.0,2101.0,627.0,Female,Picard Bangladesh Limited,yes,yes,yes,5171.0
75,AP01900046,1455.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1455.0
76,AP01901528,2780.0,2780.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,5560.0
77,AP01900641,2383.0,2611.0,1660.0,Female,Picard Bangladesh Limited,yes,yes,yes,6654.0
78,AP01901252,1553.0,0.0,536.0,Male,Picard Bangladesh Limited,yes,no,yes,2089.0
79,AP01900239,1390.0,0.0,357.0,Female,Picard Bangladesh Limited,yes,no,yes,1747.0
80,AP01900191,1390.0,1464.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2854.0
81,AP01900335,2450.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2450.0
82,AP01900241,365.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,365.0
83,AP01900099,1318.0,0.0,870.0,Female,PICARD Bangladesh Limited,yes,no,yes,2188.0
84,AP01901021,1806.0,1737.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,3543.0
85,AP01900880,1911.0,1390.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,3301.0
86,AP01900242,2640.0,2080.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4720.0
87,AP01901536,2780.0,2261.0,2053.0,Male,PICARD Bangladesh Limited,yes,yes,yes,7094.0
88,AP01900387,802.0,1250.0,410.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2462.0
89,AP01900341,1438.0,1728.0,362.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3528.0
90,AP01901537,2973.0,2924.0,3798.0,Male,PICARD Bangladesh Limited,yes,yes,yes,9695.0
91,AP01900884,348.0,435.0,113.0,Male,PICARD Bangladesh Limited,yes,yes,yes,896.0
92,AP01901538,203.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,203.0
93,AP01900247,2090.0,0.0,1817.0,Male,PICARD Bangladesh Limited,yes,no,yes,3907.0
94,AP01900104,60.0,2232.0,2602.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4894.0
95,AP01900249,1786.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1786.0
96,AP01900886,3090.0,2631.0,2817.0,Female,Picard Bangladesh Limited,yes,yes,yes,8538.0
97,AP01900106,1497.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,1497.0
98,AP01901026,2585.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2585.0
99,AP01901541,560.0,4274.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4834.0
100,AP01900391,2780.0,3078.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,5858.0
101,AP01901542,1624.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1624.0
102,AP01901029,1916.0,3694.0,2190.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7800.0
103,AP01901264,2924.0,3277.0,2171.0,Female,Picard Bangladesh Limited,yes,yes,yes,8372.0
104,AP01901543,1697.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1697.0
105,AP01900251,217.0,2307.0,1289.0,Female,Picard Bangladesh Limited,yes,yes,yes,3813.0
106,AP01900393,1822.0,2395.0,1702.0,Female,Picard Bangladesh Limited,yes,yes,yes,5919.0
107,AP01900109,1176.0,4088.0,338.0,Female,Picard Bangladesh Limited,yes,yes,yes,5602.0
108,AP01901545,2639.0,2477.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,5116.0
109,AP01901267,242.0,550.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,792.0
110,AP01901546,1378.0,2950.0,2051.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6379.0
111,AP01901032,1390.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,1390.0
112,AP01901033,2009.0,2764.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,4773.0
113,AP01901270,337.0,1587.0,1080.0,Female,PICARD Bangladesh Limited,yes,yes,yes,3004.0
114,AP01900115,1230.0,0.0,736.0,Female,PICARD Bangladesh Limited,yes,no,yes,1966.0
115,AP01900897,2780.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,2780.0
116,AP01900116,1993.0,3157.0,2977.0,Male,PICARD Bangladesh Limited,yes,yes,yes,8127.0
117,AP01900260,1390.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1390.0
118,AP01900401,1390.0,2556.0,2387.0,Male,PICARD Bangladesh Limited,yes,yes,yes,6333.0
119,AP01901274,2826.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,2826.0
120,AP01900359,629.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,629.0
121,AP01900903,1390.0,1656.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,3046.0
122,AP01901281,2513.0,2352.0,387.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5252.0
123,AP01900408,2352.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2352.0
124,AP01900363,186.0,0.0,436.0,Male,PICARD Bangladesh Limited,yes,no,yes,622.0
125,AP01900410,160.0,612.0,498.0,Male,PICARD Bangladesh Limited,yes,yes,yes,1270.0
